# start	end	date	part	region	text
-224998050	-224998050	c. 225 million years ago	1	the whole world	the first mammal-like animals appear: small, furry, and probably active at night
-200998050	-200998050	201 million years ago	1	the whole world	the end-triassic extinction clears the way for dinosaurs to dominate
-199998050	-199998050	c. 200 million years ago	1	the whole world	the supercontinent pangaea begins to split apart, opening the atlantic ocean
-149998050	-149998050	150 million years ago	1	europe	archaeopteryx, a feathered dinosaur that could probably fly, lives in what is now germany
-129998050	-129998050	c. 130 million years ago	1	the whole world	the first flowering plants appear, and later spread alongside pollinating insects
-65998050	-65998050	66 million years ago	1	mesoamerica and the caribbean	an asteroid about ten kilometers wide hits chicxulub in mexico; all non-bird dinosaurs die out along with about three quarters of all species
-54998050	-54998050	c. 55 million years ago	1	the whole world	a sudden hot spell warms the planet; early primates, horses, and many other mammal groups spread widely
-49998050	-49998050	c. 50 million years ago	1	south asia	india crashes into asia, beginning the rise of the himalayas
-33998050	-33998050	c. 34 million years ago	1	the arctic and antarctica	permanent ice sheets begin to form on antarctica as the planet cools
-24998050	-24998050	c. 25 million years ago	1	africa	the ancestors of apes split from old world monkeys
-6998050	-6998050	c. 7 million years ago	2	africa	the lineage leading to humans separates from the one leading to chimpanzees; sahelanthropus in chad may be one of the earliest members
-4398050	-4398050	c. 4.4 million years ago	2	africa	ardipithecus ("ardi") in ethiopia walks upright on the ground but still climbs trees with grasping feet
-3658050	-3658050	3.66 million years ago	2	africa	hominins leave a trail of footprints in volcanic ash at laetoli, tanzania, proving they walked fully upright
-3298050	-3298050	3.3 million years ago	2	africa	the oldest known stone tools are made at lomekwi, kenya, before our own genus existed
-3198050	-3198050	3.2 million years ago	2	africa	"lucy", an australopithecus afarensis, lives and dies in the afar region of ethiopia
-2798050	-2798050	2.8 million years ago	2	africa	the earliest known fossil of our genus, homo, a jawbone from ledi-geraru, ethiopia
-2598050	-2598050	2.6 million years ago	2	the whole world	the pleistocene ice ages begin: dozens of cycles of cold glacial and warmer periods
-2598050	-2598050	2.6 million years ago	2	africa	oldowan stone tools, simple sharp flakes, become common in east africa
-1898050	-1898050	c. 1.9 million years ago	2	africa	homo erectus appears, with a body much like ours and a larger brain
-1798050	-1798050	c. 1.8 million years ago	2	europe	early humans reach dmanisi in the caucasus of georgia, among the first to leave africa
-1758050	-1758050	c. 1.76 million years ago	2	africa	acheulean hand axes, carefully shaped teardrop tools, are made; the design lasts over a million years
-1598050	-1598050	c. 1.6 million years ago	2	southeast asia	homo erectus lives on java, in what is now indonesia
-998050	-998050	c. 1 million years ago	2	africa	burned bone and ash in wonderwerk cave, south africa, are some of the earliest evidence of fire use
-778050	-778050	c. 780,000 years ago	2	the middle east	hearths at gesher benot ya'aqov in israel show humans controlling fire repeatedly
-428050	-428050	c. 430,000 years ago	2	europe	at sima de los huesos in spain, early ancestors of the neanderthals leave their remains in a deep cave pit
-298050	-298050	c. 300,000 years ago	2	africa	the oldest known fossils of homo sapiens, our own species, from jebel irhoud, morocco
-98050	-98050	c. 100,000 years ago	2	the middle east	early homo sapiens live for a time at skhul and qafzeh in israel, then seem to disappear from the region
-73050	-73050	c. 75,000 years ago	2	africa	people at blombos cave, south africa, engrave patterns on red ochre and make shell beads: early signs of symbolic thought
-72050	-72050	c. 74,000 years ago	2	southeast asia	the toba supervolcano on sumatra erupts, the largest eruption of the last two million years
-63050	-63050	c. 65,000 years ago	2	oceania	people may have reached australia by now, crossing open sea by boat; the ancestors of aboriginal australians
-58050	-58050	c. 60,000 years ago	2	africa	the main migration of homo sapiens out of africa begins; nearly everyone outside africa today descends from it
-49050	-49050	c. 51,000 years ago	2	southeast asia	a painting of a wild pig and people on a cave wall on sulawesi, indonesia, the oldest known picture of a scene
-43050	-43050	c. 45,000 years ago	2	europe	homo sapiens arrive in europe, where neanderthals already live
-38050	-38050	c. 40,000 years ago	2	europe	the neanderthals die out; many people today carry a small share of their dna
-38050	-38050	c. 40,000 years ago	2	europe	the lion man of hohlenstein-stadel, a half-lion half-human ivory figure, and bone flutes are made in germany
-34050	-34050	c. 36,000 years ago	2	europe	artists paint lions, rhinos, and horses on the walls of chauvet cave in france
-21050	-21050	c. 23,000 years ago	2	north america	human footprints at white sands, new mexico, show people in the americas during the height of the ice age
-18050	-18050	c. 20,000 years ago	2	the whole world	the last glacial maximum: ice sheets are at their largest and sea levels about 120 meters lower than today
-15050	-15050	c. 17,000 years ago	2	europe	the painted caves of lascaux in france are decorated with hundreds of animals
-13050	-13050	c. 15,000 years ago	2	the whole world	dogs, descended from wolves, are firmly established as human companions, the first tamed animal
-12550	-12550	c. 14,000 years ago	2	south america	people live at monte verde in southern chile, far down the americas
-11050	-11050	c. 13,000 years ago	2	north america	the clovis culture spreads across north america, famous for its fluted stone spear points
-10950	-10950	c. 13,000 years ago	2	the whole world	the younger dryas: a sudden return to near ice-age cold that lasts about 1,200 years
-10050	-10050	c. 12,000 years ago	2	the whole world	many large animals, including mammoths, giant ground sloths, and woolly rhinos, have died out, likely from climate change and hunting
-9700	-9700	c. 9700 bce	3	the whole world	the younger dryas ends and the holocene begins: a warm, stable climate that has lasted to today
-9500	-9500	c. 9500 bce	3	the middle east	göbekli tepe in southern turkey: huge carved stone pillars raised by hunter-gatherers, the oldest known monumental site
-9000	-9000	c. 9000 bce	3	the middle east	wheat, barley, lentils, and peas are domesticated in the fertile crescent
-8500	-8500	c. 8500 bce	3	the middle east	sheep and goats are domesticated in the zagros mountains and nearby
-8300	-8300	c. 8300 bce	3	the middle east	cattle are tamed from the wild aurochs, both in the near east and separately in south asia
-8000	-8000	c. 8000 bce	3	the middle east	jericho is surrounded by a stone wall with a great tower, one of the oldest town walls known
-8000	-8000	c. 8000 bce	3	east asia	millet is farmed in northern china, along the yellow river
-8000	-8000	c. 8000 bce	3	mesoamerica and the caribbean	squash is domesticated in mexico
-7100	-7100	c. 7100 bce	3	the middle east	çatalhöyük in anatolia grows into a crowded town of mud-brick houses entered through the roof
-7000	-7000	c. 7000 bce	3	east asia	rice is domesticated in the lower yangtze valley of china
-7000	-7000	c. 7000 bce	3	south asia	farmers at mehrgarh, in modern pakistan, grow barley and wheat and keep cattle
-7000	-7000	c. 7000 bce	3	oceania	farmers in the highlands of new guinea dig drainage ditches to grow taro and bananas
-7000	-7000	c. 7000 bce	3	mesoamerica and the caribbean	maize begins to be domesticated from a wild grass called teosinte in southern mexico
-7000	-7000	c. 7000 bce	3	east asia	people at jiahu in china brew a fermented drink of rice, honey, and fruit, and play bone flutes
-6500	-6500	c. 6500 bce	3	europe	farming spreads from anatolia into greece and the balkans, carried by migrating farmers
-6000	-6000	c. 6000 bce	3	south america	potatoes, quinoa, and beans are being domesticated in the andes
-6000	-6000	c. 6000 bce	3	the middle east	farmers in mesopotamia dig irrigation canals to water fields with river water
-6000	-6000	c. 6000 bce	3	africa	during the "green sahara", herders graze cattle across lands that are now desert, and paint them on rocks
-5000	-5000	c. 5000 bce	3	europe	copper is smelted from ore in the balkans and iran, beginning the copper age
-5000	-5000	c. 5000 bce	3	africa	farming with barley, wheat, and cattle is established along the nile
-4500	-4500	c. 4500 bce	3	europe	the varna cemetery in bulgaria holds the oldest worked gold known, buried with a few very rich people
-4500	-4500	c. 4500 bce	3	europe	people in brittany, france, raise thousands of standing stones at carnac
-4000	-4000	c. 4000 bce	3	the middle east	the plow pulled by oxen lets farmers work much more land
-4000	-4000	c. 4000 bce	3	africa	the sahara begins drying out; herders move toward the nile and the savanna
-3700	-3700	c. 3700 bce	3	europe	farmers build large wooden and stone tombs across britain and ireland
-3500	-3500	c. 3500 bce	3	central asia	the botai people of kazakhstan use horses, perhaps riding and milking them
-3500	-3500	c. 3500 bce	3	the middle east	the wheel appears in mesopotamia and central europe at almost the same time
-3500	-3500	c. 3500 bce	3	south america	llamas and alpacas are domesticated in the andes
-3500	-3500	c. 3500 bce	4	the middle east	uruk in southern mesopotamia grows into perhaps the first true city, with tens of thousands of people and huge temples
-3300	-3300	c. 3300 bce	4	the middle east	the bronze age begins in the near east as smiths alloy copper with arsenic and later tin
-3300	-3300	c. 3300 bce	4	europe	ötzi the iceman dies in the alps; his frozen body, clothes, and copper axe survive to modern times
-3200	-3200	c. 3200 bce	4	the middle east	writing is invented in sumer: first as tallies and pictures on clay for keeping accounts, later as cuneiform
-3200	-3200	c. 3200 bce	4	africa	egyptian hieroglyphs appear, possibly invented independently of mesopotamian writing
-3100	-3100	c. 3100 bce	4	africa	upper and lower egypt are united under one king, remembered as narmer or menes
-3000	-3000	c. 3000 bce	4	europe	the first stage of stonehenge, a circular ditch and bank, is dug in southern britain
-3000	-3000	c. 3000 bce	4	east asia	austronesian-speaking peoples begin sailing out of taiwan, starting a migration that will reach madagascar and easter island
-2600	-2600	c. 2600 bce	4	south asia	the harappan cities of the indus valley, like harappa and mohenjo-daro, reach their height, with grid streets and covered drains
-2600	-2600	c. 2600 bce	4	south america	caral in peru's supe valley builds pyramids and sunken plazas, the oldest city in the americas
-2560	-2560	c. 2560 bce	4	africa	the great pyramid of giza is completed for the pharaoh khufu; it stays the tallest human-made structure for nearly 4,000 years
-2500	-2500	c. 2500 bce	4	africa	kerma, the first kingdom of kush, flourishes on the nile in what is now sudan
-2334	-2334	c. 2334 bce	4	the middle east	sargon of akkad conquers the sumerian cities and builds what is often called the first empire
-2100	-2100	c. 2100 bce	4	the middle east	ur-nammu of ur issues the oldest surviving law code; the first poems about gilgamesh are written down
-2000	-2000	c. 2000 bce	4	europe	minoan palaces rise on crete, centered on knossos
-2000	-2000	c. 2000 bce	4	central asia	people of the sintashta culture on the steppe build light chariots with spoked wheels
-2000	-2000	c. 2000 bce	4	north america	people in eastern north america domesticate squash, sunflowers, and other seed plants
-1900	-1900	c. 1900 bce	4	south asia	the indus cities go into decline as rivers shift and the climate dries
-1754	-1754	c. 1754 bce	4	the middle east	hammurabi of babylon has 282 laws carved on a stone pillar, the famous code of hammurabi
-1600	-1600	c. 1600 bce	4	east asia	the shang dynasty takes power along the yellow river, the first chinese dynasty with written records
-1600	-1600	c. 1600 bce	4	europe	the volcano of thera (santorini) erupts in one of the largest blasts in human history; mycenaean greece begins to rise
-1500	-1500	c. 1500 bce	4	south asia	indo-aryan speaking peoples settle in northern india; the rigveda, oldest of the vedas, is composed
-1479	-1458	1479–1458 bce	4	africa	hatshepsut rules egypt as pharaoh, sending trade expeditions to the land of punt
-1353	-1353	c. 1353 bce	4	africa	akhenaten becomes pharaoh and orders egypt to worship only the sun disk, the aten
-1350	-1350	c. 1350 bce	4	the middle east	the hittite empire of anatolia is at the height of its power
-1323	-1323	c. 1323 bce	4	africa	the young pharaoh tutankhamun dies; his tomb is found almost untouched in 1922
-1300	-1300	c. 1300 bce	4	oceania	lapita peoples sail from the islands off new guinea into the remote pacific, reaching fiji, tonga, and samoa
-1274	-1274	1274 bce	4	the middle east	egypt under ramesses ii and the hittites fight the battle of kadesh; later they sign one of the oldest known peace treaties
-1250	-1250	c. 1250 bce	4	east asia	shang kings carve questions to their ancestors on oracle bones, the oldest chinese writing
-1200	-1200	c. 1200 bce	4	mesoamerica and the caribbean	the olmec civilization rises on the gulf coast of mexico, carving colossal stone heads
-1200	-1200	c. 1200 bce	4	the middle east	ironworking spreads across the region, starting the iron age
-1200	-1150	c. 1200–1150 bce	4	the middle east	the bronze age collapse: the hittite empire, mycenaean greece, and many cities of the eastern mediterranean fall
-1177	-1177	c. 1177 bce	4	africa	ramesses iii fights off the "sea peoples" in the nile delta, but egypt is left weakened
-1050	-1050	c. 1050 bce	4	the middle east	the phoenicians use an alphabet of 22 letters, the ancestor of the greek, latin, hebrew, and arabic scripts
-1046	-1046	c. 1046 bce	4	east asia	the zhou overthrow the shang and claim the "mandate of heaven"
-1000	-1000	c. 1000 bce	4	the middle east	david rules a kingdom of israel from jerusalem; his son solomon is said to build the first temple
-1000	-1000	c. 1000 bce	4	africa	bantu-speaking farmers begin spreading south and east from west-central africa, carrying farming and later iron
-900	-900	c. 900 bce	4	south america	the temple center of chavín de huántar spreads a shared religion and art style through the andes
-814	-814	c. 814 bce	4	africa	phoenicians from tyre found carthage in north africa, according to tradition
-776	-776	776 bce	5	europe	the first recorded olympic games are held at olympia in greece, according to later tradition
-753	-753	753 bce	5	europe	the legendary founding of rome by romulus
-750	-750	c. 750 bce	5	europe	the greeks adopt the phoenician alphabet, adding vowels; the iliad and the odyssey take shape
-750	-750	c. 750 bce	5	africa	kushite kings from nubia conquer egypt and rule it as its 25th dynasty
-722	-722	722 bce	5	the middle east	the assyrian empire destroys the northern kingdom of israel and deports much of its population
-612	-612	612 bce	5	the middle east	babylonians and medes sack nineveh, and the assyrian empire collapses
-587	-587	587 bce	5	the middle east	babylon destroys jerusalem and its temple; many judeans are exiled to babylon
-551	-551	551 bce	5	east asia	confucius is born in the state of lu, according to tradition
-550	-550	550 bce	5	the middle east	cyrus the great founds the achaemenid persian empire
-539	-539	539 bce	5	the middle east	cyrus takes babylon and allows the exiled jews to return and rebuild their temple
-509	-509	509 bce	5	europe	the romans expel their last king and found the republic, by tradition
-508	-508	508 bce	5	europe	cleisthenes reforms athens, laying the foundations of democracy
-500	-500	c. 500 bce	5	africa	the nok culture of nigeria smelts iron and makes striking terracotta sculptures
-500	-401	5th century bce	5	south asia	siddhartha gautama, the buddha, teaches in northern india; mahavira teaches jainism in the same region (the exact dates are debated)
-490	-490	490 bce	5	europe	athens defeats a persian invasion at the battle of marathon
-480	-480	480 bce	5	europe	the spartans make their stand at thermopylae, and the greek fleet wins at salamis
-475	-221	c. 475–221 bce	5	east asia	the warring states period: rival chinese kingdoms fight for supremacy while philosophy flourishes
-447	-432	447–432 bce	5	europe	the parthenon is built on the acropolis of athens
-431	-404	431–404 bce	5	europe	the peloponnesian war between athens and sparta ends in athens' defeat
-399	-399	399 bce	5	europe	socrates is tried in athens and put to death by drinking hemlock
-334	-323	334–323 bce	5	the middle east	alexander the great conquers the persian empire and marches to india
-323	-323	323 bce	5	the middle east	alexander dies in babylon at 32; his generals split his empire
-321	-321	c. 321 bce	5	south asia	chandragupta maurya founds the maurya empire, the first to unite most of india
-300	-300	c. 300 bce	5	africa	meroë becomes the capital of kush, a center of iron smelting with its own steep pyramids
-300	-300	c. 300 bce	5	africa	the library of alexandria is founded in egypt under the ptolemies
-264	-146	264–146 bce	5	europe	the three punic wars between rome and carthage end with carthage destroyed
-261	-261	c. 261 bce	5	south asia	ashoka conquers kalinga, is horrified by the slaughter, and turns to buddhism and non-violence
-221	-221	221 bce	5	east asia	the king of qin conquers the last rival state and becomes qin shi huang, the first emperor of china
-218	-218	218 bce	5	europe	hannibal of carthage crosses the alps into italy with an army and war elephants
-206	-206	206 bce	5	east asia	the han dynasty begins; it will rule china for about four centuries
-200	500	c. 200 bce–500 ce	5	south america	the nazca people of peru draw giant lines and animal figures across the desert
-130	-130	c. 130 bce	5	central asia	after the travels of the han envoy zhang qian, the trade routes later called the silk roads open between china and the west
-100	-100	c. 100 bce	5	north america	the hopewell culture builds large earthworks and trades across much of eastern north america
-44	-44	44 bce	5	europe	julius caesar is assassinated by senators in rome
-27	-27	27 bce	5	europe	octavian takes the name augustus and becomes the first roman emperor; the pax romana begins
-4	-4	c. 4 bce	5	the middle east	jesus of nazareth is born in judea
30	30	c. 30 ce	5	the middle east	jesus is crucified in jerusalem; his followers begin to spread christianity
70	70	70 ce	5	the middle east	the romans crush a jewish revolt and destroy the second temple in jerusalem
79	79	79 ce	5	europe	mount vesuvius erupts and buries pompeii and herculaneum
100	100	c. 100 ce	5	south america	the moche culture on peru's north coast builds adobe pyramids and makes fine portrait pottery
100	100	c. 100 ce	5	africa	the kingdom of aksum in ethiopia and eritrea grows rich on red sea trade
105	105	105 ce	5	east asia	the court official cai lun presents an improved method of making paper
117	117	117 ce	5	europe	the roman empire reaches its largest size under the emperor trajan
200	200	c. 200 ce	5	mesoamerica and the caribbean	teotihuacan in central mexico, with its pyramid of the sun, becomes one of the largest cities in the world
220	220	220 ce	5	east asia	the han dynasty falls and china splits into three kingdoms
224	224	224 ce	5	the middle east	the sasanian persian empire is founded; it will rival rome for four centuries
250	250	c. 250 ce	5	mesoamerica and the caribbean	the classic period of the maya begins, with great cities like tikal and calakmul
313	313	313 ce	5	europe	the edict of milan ends the persecution of christians in the roman empire
320	320	c. 320 ce	5	south asia	chandragupta i founds the gupta empire; a golden age of science, math, and art follows
330	330	330 ce	5	europe	constantine makes byzantium, renamed constantinople, the new capital of the empire
330	330	c. 330 ce	5	africa	king ezana of aksum converts to christianity
380	380	380 ce	5	europe	christianity becomes the official religion of the roman empire
395	395	395 ce	5	europe	the roman empire is permanently divided into eastern and western halves
410	410	410 ce	5	europe	the visigoths under alaric sack the city of rome
476	476	476 ce	6	europe	the germanic general odoacer deposes romulus augustulus, the last western roman emperor
527	565	527–565 ce	6	europe	justinian rules the byzantine empire, reconquers italy and north africa, and codifies roman law
537	537	537 ce	6	europe	the hagia sophia is completed in constantinople, the largest church in the world for nearly a thousand years
541	541	541 ce	6	europe	the plague of justinian, the first known pandemic of bubonic plague, strikes the mediterranean world
570	570	c. 570 ce	6	the middle east	muhammad is born in mecca
589	589	589 ce	6	east asia	the sui dynasty reunites china after centuries of division and builds the grand canal
610	610	c. 610 ce	6	the middle east	muhammad begins receiving the revelations that become the quran, according to muslim tradition
618	618	618 ce	6	east asia	the tang dynasty begins, a golden age of poetry, trade, and buddhism
622	622	622 ce	6	the middle east	the hijra: muhammad and his followers move from mecca to medina, year one of the islamic calendar
632	632	632 ce	6	the middle east	muhammad dies; abu bakr becomes the first caliph
632	750	c. 632–750 ce	6	the middle east	arab muslim armies conquer the sasanian empire, syria, egypt, north africa, and spain
680	680	680 ce	6	the middle east	husayn, grandson of muhammad, is killed at karbala, deepening the split between sunni and shia muslims
711	711	711 ce	6	europe	muslim forces cross into spain and conquer most of the iberian peninsula
750	750	750 ce	6	the middle east	the abbasid dynasty overthrows the umayyads and later builds baghdad as its capital
751	751	751 ce	6	central asia	abbasid and tang armies clash at the talas river; papermaking spreads west to the islamic world
793	793	793 ce	6	europe	vikings raid the monastery of lindisfarne in england, beginning the viking age
800	800	800 ce	6	europe	the pope crowns charlemagne emperor of the romans
800	800	c. 800 ce	6	southeast asia	the huge buddhist monument of borobudur is built on java
800	900	c. 800–900 ce	6	mesoamerica and the caribbean	most of the great classic maya cities of the southern lowlands are abandoned
830	830	c. 830 ce	6	the middle east	al-khwarizmi writes his book on algebra at the house of wisdom in baghdad
868	868	868 ce	6	east asia	the diamond sutra is printed in china, the oldest dated printed book
960	960	960 ce	6	east asia	the song dynasty begins; china leads the world in technology, trade, and city life
1000	1000	c. 1000	6	north america	leif erikson and other norse sailors reach newfoundland, at l'anse aux meadows
1000	1000	c. 1000	6	oceania	polynesian voyagers settle the far corners of the pacific, reaching hawaii and later easter island
1025	1025	c. 1025	6	the middle east	ibn sina (avicenna) completes the canon of medicine, used in europe and the islamic world for centuries
1050	1050	c. 1050	6	north america	cahokia near the mississippi river grows into the largest city north of mexico, with huge earthen mounds
1054	1054	1054	6	europe	the great schism: the catholic and orthodox churches formally split
1066	1066	1066	6	europe	william of normandy wins the battle of hastings and conquers england
1088	1088	1088	6	europe	the university of bologna is founded, the oldest in continuous operation in europe
1099	1099	1099	6	the middle east	the first crusade captures jerusalem and massacres many of its people
1113	1150	c. 1113–1150	6	southeast asia	the khmer king suryavarman ii builds angkor wat, the largest religious monument in the world
1187	1187	1187	6	the middle east	saladin defeats the crusaders at hattin and retakes jerusalem
1200	1200	c. 1200	6	africa	king lalibela of ethiopia has churches carved down into solid rock
1200	1200	c. 1200	6	africa	swahili trading cities like kilwa and mombasa prosper on indian ocean trade
1206	1206	1206	6	central asia	temüjin unites the mongol tribes and is proclaimed genghis khan
1206	1206	1206	6	south asia	the delhi sultanate is founded by turkic muslim rulers in northern india
1215	1215	1215	6	europe	english barons force king john to agree to the magna carta
1235	1235	c. 1235	6	africa	sundiata keita defeats the sosso and founds the mali empire
1250	1250	c. 1250	6	oceania	the ancestors of the māori, sailing from eastern polynesia, settle new zealand, the last large land mass humans reached
1258	1258	1258	6	the middle east	the mongols sack baghdad and end the abbasid caliphate
1271	1295	1271–1295	6	east asia	marco polo travels to china and serves at the court of kublai khan
1274	1281	1274–1281	6	east asia	two mongol invasions of japan are wrecked by typhoons, the "kamikaze" or divine winds
1279	1279	1279	6	east asia	kublai khan completes the conquest of the song; the mongol yuan dynasty rules all of china
1299	1299	c. 1299	6	the middle east	osman i founds the small anatolian state that becomes the ottoman empire
1300	1300	c. 1300	6	africa	great zimbabwe, with its huge dry-stone walls, is at the height of its power
1324	1324	1324	6	africa	mansa musa of mali makes his pilgrimage to mecca, spending so much gold in cairo that its value falls
1325	1325	c. 1325	6	mesoamerica and the caribbean	the mexica (aztecs) found tenochtitlan on an island in lake texcoco
1337	1453	1337–1453	6	europe	the hundred years' war between england and france
1347	1351	1347–1351	6	europe	the black death kills roughly a third to a half of europe's people; it also ravages the middle east and north africa
1368	1368	1368	6	east asia	the ming dynasty drives out the mongols and rules china
1405	1433	1405–1433	6	east asia	admiral zheng he leads seven giant treasure fleets as far as east africa
1429	1429	1429	6	europe	joan of arc leads the french to lift the siege of orléans
1438	1438	c. 1438	6	south america	pachacuti becomes ruler of the inca and begins their rapid expansion
1450	1450	c. 1450	7	europe	johannes gutenberg builds a printing press with movable metal type in mainz
1453	1453	1453	7	europe	the ottomans under mehmed ii capture constantinople, ending the byzantine empire
1488	1488	1488	7	africa	bartolomeu dias sails around the southern tip of africa
1492	1492	1492	7	mesoamerica and the caribbean	christopher columbus, sailing for spain, reaches the caribbean
1492	1492	1492	7	europe	granada, the last muslim state in spain, falls; spain expels its jews
1498	1498	1498	7	south asia	vasco da gama reaches calicut in india by sailing around africa
1501	1501	1501	7	the middle east	ismail i founds the safavid empire in persia and makes shia islam the state religion
1501	1866	1501–1866	7	africa	the transatlantic slave trade carries about 12.5 million africans in chains to the americas; nearly 2 million die at sea
1503	1503	1503	7	europe	leonardo da vinci begins painting the mona lisa
1508	1512	1508–1512	7	europe	michelangelo paints the ceiling of the sistine chapel
1517	1517	1517	7	europe	martin luther's 95 theses challenge the catholic church and start the reformation
1519	1521	1519–1521	7	mesoamerica and the caribbean	hernán cortés and indigenous allies conquer the aztec empire; smallpox kills much of tenochtitlan
1519	1522	1519–1522	7	the whole world	the expedition begun by ferdinand magellan becomes the first to sail around the world
1520	1566	1520–1566	7	the middle east	suleiman the magnificent rules the ottoman empire at its height
1526	1526	1526	7	south asia	babur wins the battle of panipat and founds the mughal empire
1529	1529	1529	7	europe	the ottomans besiege vienna but fail to take it
1532	1533	1532–1533	7	south america	francisco pizarro captures and executes the inca ruler atahualpa, and the inca empire falls
1534	1534	1534	7	europe	henry viii makes himself head of the church of england
1543	1543	1543	7	europe	copernicus publishes his theory that the earth orbits the sun
1545	1545	1545	7	south america	silver is found at potosí in bolivia; forced native labor makes it one of the richest mines in history
1556	1605	1556–1605	7	south asia	akbar the great rules the mughal empire and welcomes debate between religions
1571	1571	1571	7	southeast asia	spain founds manila; galleons now link the americas and asia, and american silver flows to china
1588	1588	1588	7	europe	the spanish armada fails to invade england
1591	1591	1591	7	africa	a moroccan army with guns defeats the songhai empire
1592	1598	1592–1598	7	east asia	japan invades korea; admiral yi sun-sin's navy, with its armored turtle ships, helps drive them back
1600	1600	1600	7	europe	the english east india company is chartered; the dutch company follows in 1602
1603	1603	1603	7	east asia	tokugawa ieyasu becomes shogun; japan enters over 250 years of peace and isolation
1607	1607	1607	7	north america	the english found jamestown in virginia
1610	1610	1610	7	europe	galileo uses a telescope to see the moons of jupiter
1618	1648	1618–1648	7	europe	the thirty years' war devastates central europe; the peace of westphalia ends it
1619	1619	1619	7	north america	the first recorded enslaved africans arrive in english virginia
1632	1653	1632–1653	7	south asia	the taj mahal is built by shah jahan as a tomb for his wife mumtaz mahal
1644	1644	1644	7	east asia	the manchus take beijing and found the qing dynasty, china's last
1652	1652	1652	7	africa	the dutch east india company founds cape town
1680	1680	1680	7	north america	the pueblo revolt drives spanish colonists out of new mexico for twelve years
1682	1725	1682–1725	7	europe	peter the great rules russia and forces it to modernize along western lines
1683	1683	1683	7	europe	the ottomans are defeated at the second siege of vienna
1687	1687	1687	7	europe	isaac newton publishes the principia, explaining gravity and the laws of motion
1688	1688	1688	7	europe	the glorious revolution in england limits the power of the crown; a bill of rights follows
1712	1712	1712	7	europe	thomas newcomen builds the first practical steam engine, to pump water from mines
1751	1751	1751	8	europe	diderot and d'alembert publish the first volume of the encyclopédie
1756	1763	1756–1763	8	the whole world	the seven years' war is fought across europe, north america, india, and at sea; britain gains canada and power in india
1757	1757	1757	8	south asia	the east india company wins the battle of plassey and takes control of bengal
1762	1762	1762	8	europe	rousseau publishes the social contract
1768	1779	1768–1779	8	oceania	james cook makes three voyages across the pacific, mapping new zealand and eastern australia
